"motif_name","motif_ID","n_targets"
"EVX1","MA0887.1",1134
"EVX2","MA0888.1",1135
"GBX1","MA0889.1",1339
"GBX2","MA0890.1",1596
"GSC2","MA0891.1",1714
"GSX1","MA0892.1",2205
"HESX1","MA0894.1",1641
"HMBOX1","MA0895.1",1512
"Hmx1","MA0896.1",2242
"Hmx2","MA0897.1",3215
"Hmx3","MA0898.1",3334
"HOXA10","MA0899.1",4757
"HOXB3","MA0903.1",2186
"HOXC10","MA0905.1",1855
"HOXC12","MA0906.1",1438
"HOXC13","MA0907.1",1978
"HOXD11","MA0908.1",1607
"Hoxa11","MA0911.1",1435
"ISL2","MA0914.1",2681
"FOXK1","MA0852.2",3292
"GATA2","MA0036.3",2809
"HIF1A","MA1106.1",1249
"MYC","MA0147.3",2140
"MYB","MA0100.3",2269
"MYCN","MA0104.4",1575
"NEUROD1","MA1109.1",3596
"NFIC","MA0161.2",3288
"NFYA","MA0060.3",3143
"NR1H4","MA1110.1",1985
"NR2F2","MA1111.1",4023
"PAX5","MA0014.3",1866
"PBX3","MA1114.1",5360
"POU5F1","MA1115.1",4583
"RBPJ","MA1116.1",5662
"RELB","MA1117.1",2599
"SIX1","MA1118.1",2619
"SIX2","MA1119.1",3363
"SOX10","MA0442.2",4950
"SOX13","MA1120.1",2710
"TEAD2","MA1121.1",3542
"TFDP1","MA1122.1",4086
"ZBTB7A","MA0750.2",5056
"ZEB1","MA0103.3",5626
"ZNF24","MA1124.1",4907
"ZNF384","MA1125.1",11513
"ZNF282","MA1154.1",3265
"ZSCAN4","MA1155.1",4010
"GATA3","MA0037.3",2701
"FOS::JUN","MA0099.3",2197
"FOS::JUN(var.2)","MA1126.1",1810
"FOSB::JUN","MA1127.1",1755
"FOSL1::JUN","MA1128.1",2430
"FOSL1::JUN(var.2)","MA1129.1",1196
"FOSL2::JUN","MA1130.1",2216
"FOSL2::JUN(var.2)","MA1131.1",1944
"JUN::JUNB","MA1132.1",1913
"JUN::JUNB(var.2)","MA1133.1",1567
"FOS::JUNB","MA1134.1",1929
"FOSB::JUNB","MA1135.1",2100
