"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.71833272916783,0.777,0.124,0,"0","MRPS23"
0,1.32152624025598,0.859,0.206,0,"0","NAA50"
0,1.31778197930397,0.799,0.146,0,"0","POLR2F"
0,1.37438892858694,0.805,0.152,0,"0","POLR2G"
0,0.993993321480294,0.917,0.264,0,"0","RNPS1"
0,1.55799313332253,0.933,0.28,0,"0","YWHAQ"
0,1.31875291446369,0.936,0.284,0,"0","RBX1"
0,2.27415846039963,0.734,0.082,0,"0","WDR54"
0,2.30997623293401,0.965,0.313,0,"0","NME1"
0,1.36383096933928,0.836,0.184,0,"0","PRKDC"
0,1.81217769921301,0.761,0.11,0,"0","CSE1L"
0,1.23243193239624,0.954,0.303,0,"0","FBL"
0,1.03651660476336,0.874,0.223,0,"0","MKI67"
0,1.18350408452866,0.895,0.244,0,"0","PTMAP5"
0,1.53707553516651,0.932,0.282,0,"0","G3BP1"
0,1.28902166444995,0.882,0.232,0,"0","DARS"
0,1.27553353682388,0.774,0.124,0,"0","LRPPRC"
0,1.36943602529063,0.775,0.125,0,"0","SNRPA1"
0,1.73541409606341,0.94,0.29,0,"0","PRMT1"
0,1.24542713666038,0.821,0.171,0,"0","USP1"
0,1.27688016478468,0.85,0.201,0,"0","PMVK"
0,0.939476413116603,0.924,0.276,0,"0","MTA2"
0,1.10820390267348,0.876,0.228,0,"0","PRR13"
0,0.842406715354121,0.875,0.227,0,"0","TRBC2"
0,1.59741872134396,0.762,0.114,0,"0","UBE2V2"
0,1.21726425181719,0.809,0.161,0,"0","VPS35"
0,1.06003851378864,0.831,0.183,0,"0","LRRC58"
0,1.27398604840464,0.808,0.161,0,"0","ADH5"
0,1.45180078959111,0.829,0.182,0,"0","BRI3BP"
0,1.16366412976477,0.846,0.199,0,"0","HSD17B10"
0,1.39221799158787,0.799,0.152,0,"0","KIF2A"
0,1.5240442015786,0.794,0.147,0,"0","NCAPD2"
0,1.64057907584818,0.885,0.238,0,"0","NDUFA12"
0,1.23310516181947,0.92,0.273,0,"0","PSME3"
0,1.77019498574522,0.769,0.122,0,"0","SEPT11"
0,1.09655643559924,0.891,0.244,0,"0","SUPT4H1"
0,0.970532460322923,0.878,0.231,0,"0","TKT"
0,1.34448908554089,0.803,0.156,0,"0","WHSC1"
0,1.21545311507899,0.817,0.17,0,"0","PRPF19"
0,1.60343411584084,0.931,0.285,0,"0","BANF1"
0,1.59266006760786,0.784,0.138,0,"0","H2AFX"
0,1.54181380569236,0.758,0.112,0,"0","PPIH"
0,1.44236080362755,0.791,0.145,0,"0","RECQL"
0,1.94081729922346,0.74,0.094,0,"0","TPGS2"
0,1.38297857873896,0.867,0.221,0,"0","TXNDC17"
0,1.61848604175582,0.769,0.124,0,"0","ESD"
0,1.54908578120634,0.874,0.229,0,"0","GTF2A2"
0,1.4566787259361,0.819,0.174,0,"0","MRPL18"
0,1.13868449774911,0.919,0.274,0,"0","RPL7L1"
0,1.10918842012466,0.872,0.227,0,"0","TALDO1"
0,1.72275147928624,0.76,0.115,0,"0","TK1"
0,1.14840808346103,0.814,0.169,0,"0","EIF4E2"
0,1.62255952535549,0.745,0.101,0,"0","CCND3"
0,1.79591157921088,0.75,0.106,0,"0","GOT2"
0,1.35725395126543,0.899,0.255,0,"0","LSM3"
0,1.7784269892221,0.782,0.138,0,"0","MT2A"
0,0.833678486401464,0.877,0.233,0,"0","PSMC4"
0,1.23155081103511,0.866,0.222,0,"0","TIMM17A"
0,1.1918362218027,0.834,0.19,0,"0","PCMT1"
0,1.80672548673359,0.957,0.313,0,"0","SNRPD1"
0,0.943797687817834,0.865,0.222,0,"0","CSNK2A1"
0,1.51358490472041,0.771,0.128,0,"0","MRPL16"
0,1.41584776040475,0.793,0.15,0,"0","SKA2"
0,1.12335828693579,0.846,0.203,0,"0","VMP1"
0,1.51995660698825,0.757,0.115,0,"0","ACLY"
0,0.994601808587556,0.871,0.229,0,"0","DAZAP1"
0,0.933627761650032,0.879,0.237,0,"0","DHX9"
0,1.82865323638957,0.961,0.319,0,"0","ALYREF"
0,2.50310954762227,0.708,0.066,0,"0","DTYMK"
0,1.2454478371432,0.821,0.179,0,"0","EIF4A3"
0,1.04108045722667,0.814,0.173,0,"0","AMD1"
0,1.16440678104959,0.917,0.276,0,"0","ATP5O"
0,0.871348740298848,0.847,0.206,0,"0","ELOVL5"
0,1.19676702706273,0.798,0.157,0,"0","FERMT3"
0,1.17009812094112,0.876,0.235,0,"0","MAPRE1"
0,1.31074387694369,0.768,0.127,0,"0","NRAS"
0,1.53949288307147,0.874,0.233,0,"0","SRM"
0,0.974780087512642,0.817,0.176,0,"0","SZRD1"
0,1.55181532913425,0.772,0.132,0,"0","ITGB3BP"
0,0.967434965629636,0.882,0.242,0,"0","PSMC5"
0,1.29124170028292,0.786,0.146,0,"0","RARS"
0,1.66070424394312,0.733,0.093,0,"0","RRP15"
0,1.22497731086778,0.889,0.249,0,"0","TCEB1"
0,1.40517436649476,0.808,0.168,0,"0","TIMM13"
0,1.26511387672253,0.817,0.177,0,"0","C11orf48"
0,1.22410135459685,0.817,0.177,0,"0","SF3A3"
