"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.84991678074545e-217,3.11759043683073,0.701,0.217,4.2572134875295e-213,"2","MS4A1"
6.03854561316422e-153,3.10059713435157,0.288,0.027,1.38965050195748e-148,"2","CCDC28B"
4.53595702924781e-105,3.07797903740913,0.288,0.05,1.0438597911408e-100,"2","BCAS1"
2.52659335635263e-111,2.99812716271123,0.277,0.041,5.81444929097431e-107,"2","LY86"
4.91776151615775e-208,2.8563345233881,0.545,0.101,1.13172445771338e-203,"2","TNF"
5.48378886844599e-286,5.38187275267223,0.694,0.132,1.26198433229547e-281,"3","IGHG4"
0,4.79216414849265,0.97,0.445,0,"3","IGHG1"
1.45218472620699e-237,4.72813307527369,0.864,0.43,3.34191271042014e-233,"3","IGHGP"
0,4.40826553815064,0.952,0.269,0,"3","IGHG2"
2.2490515249809e-284,2.34659265608361,0.965,0.429,5.17574227443855e-280,"3","IGHG3"
6.16332482311168e-57,1.97917816563711,0.522,0.268,1.41836594154269e-52,"3","RP11-16E12.2"
1.87736233441346e-57,1.94112439517301,0.477,0.214,4.32037394018569e-53,"3","CECR1"
6.50304895062443e-94,1.75550102133894,0.879,0.779,1.4965466550072e-89,"3","XBP1"
2.29674344521992e-27,1.68622224193893,0.365,0.199,5.2854956904846e-23,"3","RASSF6"
6.26817120101508e-05,1.65937218794193,0.306,0.251,1,"3","IGLC2"
5.08742137662803e-54,1.55689665456626,0.617,0.368,1.17076828140341e-49,"3","TP53INP1"
1.22883084589116e-34,1.51108198085923,0.408,0.208,2.82790842564933e-30,"3","ANKRD36BP2"
3.35047458342423e-34,1.48623727808032,0.335,0.146,7.71044715883419e-30,"3","CD38"
1.09852661115162e-10,1.44017447992442,0.266,0.177,2.52803929024323e-06,"3","RP11-1070N10.3"
2.02967990898138e-09,1.37933996973206,0.27,0.184,4.67090237453886e-05,"3","CYTH4"
5.95533893294742e-63,1.37568748454036,0.799,0.695,1.37050214863919e-58,"3","SEL1L3"
8.30843958731571e-14,1.35482824932152,0.327,0.217,1.91202120222896e-09,"3","C10orf54"
5.91999107146642e-15,1.32949105897018,0.442,0.341,1.36236754527657e-10,"3","METTL7A"
4.60285134949073e-09,1.31682998558071,0.317,0.24,0.00010592541810583,"3","IGF1"
4.30475939628137e-11,1.31095070870533,0.389,0.306,9.90654279866231e-07,"3","BHLHE41"
0,7.81190448728774,0.51,0.017,0,"4","ADTRP"
1.73308360164219e-131,5.37699396767126,0.263,0.017,3.98834529245917e-127,"4","FCER2"
6.13037290286779e-100,4.94158714011243,0.342,0.05,1.41078271613696e-95,"4","SESN3"
8.05778701737908e-85,3.91462135842425,0.333,0.055,1.85433852630945e-80,"4","IGFBP4"
2.69971312335794e-65,3.78196727996227,0.313,0.063,6.21284981078363e-61,"4","SKAP1"
2.38339569613191e-51,3.75007206964089,0.316,0.081,5.48490851550837e-47,"4","GBP4"
8.71882363446751e-48,3.74385816097475,0.263,0.059,2.00646288300001e-43,"4","CD84"
3.32587017399604e-55,3.72610352243105,0.342,0.091,7.65382503141709e-51,"4","IL4R"
1.20619539042909e-29,3.64049139260248,0.251,0.081,2.77581745199447e-25,"4","CHI3L2"
4.56220169102672e-38,3.52560048199744,0.286,0.086,1.04989947515598e-33,"4","KIAA1147"
6.31854839465509e-45,3.36418518555124,0.298,0.081,1.45408754206198e-40,"4","CNTNAP1"
1.01001996955927e-35,3.31135573176972,0.378,0.153,2.32435895594676e-31,"4","IRF8"
5.15839727432232e-48,3.30017818015578,0.378,0.121,1.18710196473979e-43,"4","ALOX5AP"
1.9822824160328e-61,3.28684490033787,0.469,0.159,4.56182652401629e-57,"4","CXCR5"
7.32790679349782e-129,3.19601683637458,0.667,0.168,1.68637119038765e-124,"4","CCR7"
2.2744494249284e-31,3.16098559995311,0.26,0.082,5.23419046158773e-27,"4","COL9A2"
2.14531443966529e-49,3.13640798049926,0.475,0.194,4.93701212000172e-45,"4","BCL2"
8.18130226341592e-35,3.04584119869482,0.274,0.084,1.88276308987991e-30,"4","GSAP"
9.08820182757719e-48,3.01619442916271,0.422,0.152,2.09146788658034e-43,"4","SPINT2"
6.35195927751531e-24,2.90216775077422,0.283,0.114,1.4617763885346e-19,"4","GNPDA1"
