"tf","gene","Gain","Cover","Frequency","Cor"
"TFDP1","SLC41A1",0.109362358067691,0.054,0.054,0.592481241904943
"TFDP1","HOXA4",0.108735237954878,0.069774393937466,0.069774393937466,0.181618303210116
"TFDP1","CTCF",0.107676864373884,0.056,0.056,0.314945977077573
"TFDP1","TP73",0.10581096355996,0.052,0.052,0.302188677769953
"TFDP1","SOX13",0.102551528265683,0.102620191686688,0.102620191686688,0.0560311455523086
"TFDP1","IKZF1",0.102237752909442,0.028,0.028,0.398753950926452
"TFDP1","OLIG3",0.101508617863714,0.0505325667661888,0.0505325667661888,0.164773618474788
"TFDP1","FHL2",0.100698445297954,0.0459488152033717,0.0459488152033717,0.394552460555843
"TFDP1","HES7",0.0999729073383285,0.0432162162162162,0.0432162162162162,0.193606773571197
"TFDP1","KISS1R",0.094960629866776,0.0767676767676768,0.0767676767676768,0.43094354817729
"TFDP1","TWIST1",0.0843048663255966,0.121445337363059,0.121445337363059,0.108173379489804
"TFDP1","ELK1",0.0702373390942163,0.024,0.024,0.357009895432233
"TFDP1","ARID3B",0.0674282096826607,0.02,0.02,0.455412174020978
"TFDP1","EGR1",0.0610782923438401,0.096,0.096,0.240502887239995
"TFDP1","SMAD2",0.0601817761476929,0.016,0.016,0.32437147736259
"TFDP1","PSAT1",0.0597895237030618,0.058,0.058,0.458770997420185
"TFDP1","CD3EAP",0.0593268657590679,0.048,0.048,0.591860222152738
"TFDP1","TNIK",0.0573778979514376,0.026,0.026,0.440313120564244
"TFDP1","GMEB1",0.0550348495070795,0.024,0.024,0.148534491678292
"TFDP1","LIN54",0.055024782596111,0.022,0.022,0.289504979901258
"TFDP1","E2F6",0.0543822115493267,0.048,0.048,0.187122945821503
"TFDP1","CMTM3",0.0540900993470024,0.022,0.022,0.61689152649016
"TFDP1","LMNA",0.0521943706026553,0.016,0.016,0.390926129707428
"TFDP1","PBX1",0.0504704020905134,0.134277884351877,0.134277884351877,0.0671266814855654
"TFDP1","MYL9",0.0473800498563258,0.048,0.048,0.430124097349469
"TFDP1","FOXA3",0.0449543766467879,0.161141153511537,0.161141153511537,0.11884543620951
"TFDP1","DEK",0.0447333448211461,0.118,0.118,0.386149767056514
"TFDP1","ETV5",0.043768406542817,0.048,0.048,0.423676543553888
"TFDP1","E2F3",0.0436158156920683,0.034,0.034,0.348226359587463
"TFDP1","HEY1",0.043587773092617,0.0246663566612416,0.0246663566612416,0.163998283175077
"TFDP1","DDIT4",0.0420565095230609,0.014,0.014,0.346792975030864
"TFDP1","HOXA9",0.0411843906408946,0.0289927808312812,0.0289927808312812,0.196281007179757
"TFDP1","ZNF684",0.0384519159260769,0.028,0.028,0.31118819145502
"TFDP1","MEIS2",0.037330080226131,0.0234562904717854,0.0234562904717854,0.0331681414251906
"TFDP1","TPM3",0.0350908388613073,0.026,0.026,0.66417326880992
"TFDP1","NQO1",0.0337859954119974,0.036,0.036,0.484027040313359
"TFDP1","HOXB6",0.0326443313248551,0.0225352112676056,0.0225352112676056,0.190919251490264
"TFDP1","NTRK2",0.0314063570642272,0.052,0.052,0.278740348195236
"TFDP1","ATF2",0.0291314009984777,0.048,0.048,0.136553500323187
"TFDP1","JUP",0.0274851823789001,0.052,0.052,0.12671216540842
"TFDP1","LGALS1",0.0264667034580963,0.014,0.014,0.626936027793198
"TFDP1","NFKB1",0.0246242412362216,0.048,0.048,0.298128762579756
"TFDP1","EGR2",0.023878056517535,0.06,0.06,0.300702514117161
"TFDP1","ZBTB14",0.01824724963021,0.016,0.016,0.0894878666002769
"TFDP1","FOXC1",0.0179401224573947,0.0221988997269896,0.0221988997269896,0.0469056405188017
"TFDP1","IRF5",0.0177970947891323,0.028,0.028,0.134177056999783
"TFDP1","PRR11",0.0174416625274966,0.03,0.03,0.671687001610907
"TFDP1","NRF1",0.0150118152862947,0.016,0.016,0.0775958064483293
"TFDP1","TEAD1",0.0126038967706911,0.00975609756097561,0.00975609756097561,0.0338403232532174
"TFDP1","MAZ",0.0123850484174105,0.03,0.03,0.436638940776107
"TFDP1","NFIC",0.0115680938008113,0.01,0.01,0.191800610226251
"TFDP1","PPARA",0.0123512054760252,0.016,0.016,-0.172089305195749
"TFDP1","SNAI3",0.0126049761512054,0.028,0.028,-0.141105707704002
"TFDP1","MNX1",0.0156175116175096,0.055283950617284,0.055283950617284,-0.0344174578471093
"TFDP1","OSR2",0.0170392758309138,0.0255586932177808,0.0255586932177808,-0.00748278545171204
"TFDP1","JUN",0.0186447991222698,0.088,0.088,-0.340647994057399
"TFDP1","TBX6",0.0188115122907282,0.0440238493223414,0.0440238493223414,-0.00825244657289754
