"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
3.9783774215672e-33,0.937398626601915,0.109,0.038,9.1554399602526e-29,"RP5-887A10.1","1"
3.46588948446613e-16,0.278384919545998,0.052,0.117,7.97605147060189e-12,"RP11-295G20.2","1"
2.83949391369895e-12,0.40040018628158,0.148,0.237,6.53452734359539e-08,"RP1-17K7.2","1"
1.20344712428552e-10,0.613051214593548,0.057,0.108,2.76949286711827e-06,"TMPO-AS1","1"
0.000190833289419333,0.610466246574025,0.081,0.114,1,"SNORD3D","1"
0.000806530351266152,0.303087211352292,0.075,0.103,1,"LINC00936","1"
0.0187565976137279,0.674977439198184,0.15,0.186,1,"U3","1"
0.0248988091862439,0.343385037274124,0.081,0.101,1,"CROCCP2","1"
0.186401615306516,0.952833941575874,0.095,0.111,1,"RP11-386I14.4","1"
0.264640489212242,0.340271193205675,0.13,0.148,1,"LINC00926","1"
0.266553247421661,0.909854145101687,0.133,0.132,1,"LINC00969","1"
0.377400196326385,0.408385437346283,0.332,0.383,1,"SNORA76","1"
9.24379837243623e-90,1.07367095034536,0.987,0.986,2.12727531944875e-85,"MALAT1","2"
3.6449513991791e-69,1.829561300118,0.481,0.27,8.38812665493087e-65,"RP11-16E12.2","2"
3.9654513631877e-28,2.51695021957076,0.122,0.043,9.12569322210386e-24,"WT1-AS","2"
2.51766790271865e-21,1.64878340977355,0.201,0.108,5.79390914452644e-17,"RP11-290F5.1","2"
9.22820259813665e-21,0.406288067816996,0.08,0.215,2.12368626390919e-16,"CTC-228N24.3","2"
3.44512736063757e-19,1.78269473540647,0.348,0.276,7.92827159503523e-15,"RP11-284N8.3","2"
8.66240224894042e-18,0.569173345620448,0.064,0.175,1.99347862954866e-13,"SETD5-AS1","2"
2.73101863708608e-17,0.485615928965093,0.093,0.219,6.28489318952619e-13,"LINC00493","2"
4.76486773620528e-16,0.614666393933351,0.046,0.139,1.09653901213292e-11,"RP6-109B7.3","2"
2.29215320942981e-15,0.605655019188992,0.063,0.162,5.27493218086081e-11,"RP11-568N6.1","2"
9.76361104845186e-14,0.281265380032823,0.064,0.157,2.24689981058023e-09,"RAB30-AS1","2"
4.41169793886647e-13,0.482159736439576,0.092,0.197,1.01526404667134e-08,"MMP24-AS1","2"
1.03457305629801e-11,0.430755139172282,0.28,0.476,2.3808629744586e-07,"AC009501.4","2"
1.51650315899635e-11,0.704713762620383,0.066,0.15,3.48992871979831e-07,"ZSCAN16-AS1","2"
3.83856928888512e-11,0.534517407497963,0.049,0.121,8.83369950451134e-07,"LINC00909","2"
3.61843783245288e-10,0.751889851564924,0.08,0.164,8.32711098382382e-06,"CTC-241F20.3","2"
1.16707687952252e-09,0.457232998537894,0.122,0.22,2.68579402284517e-05,"RP11-349A22.5","2"
4.03333910570972e-09,1.35522370061641,0.191,0.135,9.28192328396978e-05,"AC074289.1","2"
9.76596443283796e-08,1.58239096964069,0.151,0.105,0.002247441394929,"CTA-445C9.15","2"
