"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","stage"
1.79506032098638e-139,1.47763138710478,0.166,0.015,4.13097231668596e-135,"RP11-425I13.3","prePB"
4.54081800555852e-131,2.6460066385951,0.135,0.007,1.04497844761918e-126,"IL10RB-AS1","prePB"
6.44468509316291e-130,3.24910943353,0.122,0.003,1.48311538048958e-125,"RP11-126K1.6","prePB"
1.83040965280469e-126,1.95862609181795,0.135,0.008,4.21232173399943e-122,"CTC-459F4.3","prePB"
2.44789293075163e-124,-0.309611892976157,0.571,0.219,5.63333600153872e-120,"LINC00657","prePB"
1.54699245573589e-123,1.17292425977298,0.171,0.022,3.560093738385e-119,"RPPH1","prePB"
4.11760091070003e-123,0.512904970074437,0.208,0.037,9.47583497579397e-119,"PITPNA-AS1","prePB"
5.51418241309145e-121,-0.377018725621172,0.425,0.144,1.26897879872474e-116,"TAPSAR1","prePB"
2.43920727214236e-115,0.743418879353034,0.155,0.018,5.6133476953812e-111,"LINC00094","prePB"
3.66101811372307e-115,-0.704246188332872,0.543,0.205,8.42510098511089e-111,"TUG1","prePB"
1.07599369535572e-114,0.538278239188408,0.212,0.043,2.47618429112213e-110,"SNORD3D","prePB"
7.37208440559906e-112,2.163937510377,0.113,0.005,1.69653778426051e-107,"RP11-500C11.3","prePB"
1.42909100505636e-111,1.12443724226177,0.136,0.013,3.2887671299362e-107,"NOP14-AS1","prePB"
3.68107223810677e-110,-0.825739470630986,0.32,0.095,8.4712515415551e-106,"EPB41L4A-AS1","prePB"
7.71530097873633e-104,-0.365547656518744,0.225,0.053,1.77552221423659e-99,"TTTY15","prePB"
1.74096519799826e-103,1.43208538229217,0.123,0.01,4.00648321015339e-99,"BZRAP1-AS1","prePB"
2.17598639880827e-102,1.07749117061186,0.131,0.014,5.00759749957747e-98,"CTA-384D8.36","prePB"
1.81669125601063e-101,-0.394946971885294,0.26,0.072,4.18075158745726e-97,"ILF3-AS1","prePB"
3.22196900407197e-101,0.522199417135699,0.151,0.022,7.41471726907083e-97,"LINC00662","prePB"
2.13949506534441e-100,0.61331144201375,0.156,0.024,4.92361999387709e-96,"RP11-160O5.1","prePB"
5.61710633613186e-100,-0.447984650809203,0.321,0.104,1.29266468113403e-95,"MMP24-AS1","prePB"
3.78310564210485e-97,1.26477661959361,0.14,0.019,8.7060610141759e-93,"RP5-1024G6.8","prePB"
2.63189867597119e-96,0.764837958071472,0.135,0.017,6.05678842301251e-92,"CD27-AS1","prePB"
2.89772505152285e-96,0.508756953327829,0.144,0.021,6.66853466106954e-92,"RSBN1L-AS1","prePB"
1.91605318340355e-95,1.21820030392654,0.119,0.012,4.40941319096658e-91,"FLVCR1-AS1","prePB"
4.25989759714953e-93,-0.379014349902113,0.234,0.064,9.80330234032021e-89,"LINC00667","prePB"
1.81485811298924e-92,1.07861474409153,0.142,0.022,4.17653297542214e-88,"RP11-22P6.3","prePB"
8.94026740249774e-91,-0.37502255814763,0.251,0.074,2.05742373733681e-86,"ZSCAN16-AS1","prePB"
1.94408322425433e-90,0.564099766318565,0.126,0.016,4.4739187239765e-86,"RP11-111M22.3","prePB"
3.18436928357141e-90,-0.599757086369763,0.391,0.148,7.32818903228288e-86,"GS1-251I9.4","prePB"
2.01351655979711e-88,0.49521729040796,0.112,0.011,4.63370565906108e-84,"AC093323.3","prePB"
2.89432997156377e-86,1.03443866290653,0.116,0.014,6.66072156355971e-82,"CTC-425F1.4","prePB"
3.19103708736361e-86,0.311444598505481,0.131,0.019,7.34353364914988e-82,"PTCHD3P1","prePB"
3.61679572182002e-84,-0.991972487788258,0.346,0.127,8.3233319946244e-80,"RP11-349A22.5","prePB"
8.58829644129481e-84,-0.765041445684367,0.364,0.137,1.97642466003518e-79,"SNHG9","prePB"
5.09222566961937e-80,-0.662857884782678,0.563,0.255,1.17187389334951e-75,"SCARNA9","prePB"
1.31795376594219e-75,0.348084649065082,0.137,0.027,3.03300700156277e-71,"RP3-477O4.14","prePB"
7.97625994374875e-73,-0.252992373636134,0.171,0.044,1.8355767008549e-68,"TMEM161B-AS1","prePB"
1.78813368734563e-72,-3.0478370669844,0.212,0.349,4.11503205468849e-68,"RP11-16E12.2","prePB"
1.86530948562604e-72,0.602641354796196,0.109,0.016,4.29263671927121e-68,"RP11-1094M14.11","prePB"
1.25918606280685e-71,0.269648859078779,0.144,0.032,2.8977648863374e-67,"RP11-625L16.3","prePB"
1.97482230609428e-69,-4.64057260342103,0.038,0.167,4.54465857301477e-65,"RP11-290F5.1","prePB"
9.12840666869727e-69,0.886046002685315,0.107,0.017,2.1007202266673e-64,"CRNDE","prePB"
1.29677472710809e-68,0.343152773452405,0.101,0.015,2.98426767949384e-64,"CTD-3195I5.1","prePB"
1.16878456138364e-65,0.626828092768135,0.121,0.025,2.68972391111217e-61,"RMRP","prePB"
2.89293942333921e-65,0.487891646149954,0.1,0.015,6.65752149493053e-61,"CTD-2306M10.1","prePB"
3.31347235619155e-63,-0.320363162393374,0.172,0.05,7.62529393330361e-59,"LINC00936","prePB"
1.56947911437683e-58,-0.432959337751694,0.169,0.052,3.61184228591539e-54,"CTBP1-AS2","prePB"
1.94922095270798e-57,-1.71406233998468,0.873,0.729,4.48574217846688e-53,"SNORD3A","prePB"
6.05539303462694e-57,-0.634093997462959,0.27,0.109,1.3935275990587e-52,"RP11-139H15.1","prePB"
6.47898516322402e-56,-0.275975720181186,0.139,0.038,1.49100885561274e-51,"LINC00426","prePB"
7.85567452556727e-56,-0.432358417138684,0.136,0.036,1.8078263785688e-51,"RP11-350F4.2","prePB"
1.68956396839386e-49,-0.534818378828289,0.143,0.044,3.88819356046479e-45,"SRP14-AS1","prePB"
2.86985726610412e-49,-0.254266553775565,0.116,0.03,6.6044025264854e-45,"RP11-169K16.9","prePB"
3.62057698904288e-47,-0.787913631855857,0.163,0.056,8.33203382488437e-43,"MKLN1-AS1","prePB"
