"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.95152526677899e-39,2.96338204670626,0.351,0.127,6.79234509643849e-35,"5","LY75"
2.0087370900167e-119,2.92690391507513,0.474,0.086,4.62270666525543e-115,"5","LTA"
1.05748370453971e-45,2.92639084059248,0.351,0.11,2.43358724925724e-41,"5","BATF3"
1.28816349339547e-87,2.90304576257203,0.465,0.114,2.96445064735099e-83,"5","CXCR5"
5.34539250753235e-72,2.89710370777893,0.32,0.064,1.23013517775842e-67,"5","IL4R"
2.01066066350526e-64,2.89095303482925,0.437,0.129,4.62713338492466e-60,"5","TRAF1"
6.16119077899666e-59,2.86387097171956,0.372,0.101,1.4178748339705e-54,"5","SPIB"
2.6026302661458e-41,2.85473235432922,0.357,0.124,5.98943303148134e-37,"5","TLR10"
5.1317495917266e-91,2.83241245845354,0.665,0.249,1.18096953354404e-86,"5","PAX5"
3.33239047766805e-53,2.83120543291373,0.458,0.172,7.66883020625748e-49,"5","PIK3AP1"
1.97822326463035e-81,2.82630595002437,0.723,0.365,4.55248519889383e-77,"5","STAT3"
5.85205330946139e-60,2.79915368646357,0.292,0.063,1.34673302810635e-55,"5","KIAA1147"
1.39723022820558e-35,2.77082977371724,0.262,0.076,3.2154459241695e-31,"5","GNPDA1"
2.04433601072707e-41,2.7657478241934,0.462,0.207,4.70463046148621e-37,"5","BATF"
3.35052713840377e-49,2.71245847779011,0.492,0.201,7.71056810360859e-45,"5","CTC-444N24.11"
