"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.000103700796449269,-0.340857649935368,0.227,0.311,1,"LGALS1"
0.391383900174546,0.337640587679029,0.49,0.52,1,"SND1"
0.0141100571580005,-0.337475053000113,0.266,0.321,1,"RBM8A"
0.066382499714372,0.334858569000119,0.388,0.361,1,"MGAT1"
0.0842506931596796,0.33361380722144,0.372,0.344,1,"NDUFS6"
0.0125685727833236,-0.333573369915224,0.204,0.253,1,"MYL12A"
0.170661314765552,0.333443553603644,0.503,0.505,1,"SELT"
0.104765198328586,0.333336337393408,0.447,0.43,1,"PKM"
0.372401885025548,0.331530433211577,0.292,0.284,1,"CWC15"
0.0117434290058133,-0.330848795482752,0.23,0.28,1,"TMEM208"
0.524118744823541,0.330732140061943,0.379,0.387,1,"LDHA"
0.330485986237018,0.330087598106636,0.301,0.289,1,"RYBP"
0.512219000534088,0.328539130481048,0.273,0.268,1,"SMAP2"
0.850072553691723,0.327473299942773,0.305,0.316,1,"PARK7"
0.000691047334346694,-0.326599843108255,0.205,0.275,1,"ANAPC16"
0.0013999737394673,0.32614916563681,0.61,0.558,1,"CFLAR"
0.00582584768289362,0.326113124105095,0.708,0.711,1,"RPS9"
0.000669861935987023,-0.325725996482226,0.297,0.376,1,"MLEC"
0.857353458880957,0.322495011668466,0.312,0.334,1,"TLN1"
0.0184230590219842,0.320949315496766,0.488,0.448,1,"HMGB1"
0.121940406101435,0.320461256078413,0.433,0.412,1,"ZNF706"
0.932385114964384,0.320048950549707,0.261,0.274,1,"N4BP2L2"
0.00060375407206547,-0.31975305149489,0.231,0.31,1,"GPBP1"
0.00144621659957037,-0.31909972144161,0.292,0.36,1,"TMBIM4"
0.760743982718222,0.31781503039579,0.247,0.263,1,"RNA5-8SP6"
0.00818189809464057,0.317538926660858,0.676,0.668,1,"PPIA"
0.156286754955178,0.316337602902854,0.345,0.322,1,"PPP1CC"
0.705651276022718,0.314133791314389,0.347,0.36,1,"AC007969.5"
0.000119063474206843,-0.313134213718476,0.213,0.292,1,"PNN"
0.148477325417828,0.31304444193176,0.383,0.364,1,"NOP10"
0.000709648516139032,-0.31150397521088,0.438,0.515,1,"CDV3"
0.111631976415385,0.310520166475684,0.259,0.233,1,"MRP63"
0.0306998618516573,0.310480110448143,0.567,0.545,1,"EIF2AK2"
0.00144588386879072,-0.310449728632831,0.208,0.27,1,"MAN2A1"
0.0400413362348411,-0.310391961172657,0.327,0.38,1,"PARP1"
0.00184796578212283,-0.309794142903628,0.29,0.36,1,"RAB11B"
0.0345231261355719,0.306871680254403,0.394,0.36,1,"PLCG2"
0.406132402495259,0.306695537987396,0.367,0.362,1,"SSU72"
0.0108867593213667,-0.306144065896076,0.37,0.431,1,"C17orf76-AS1"
0.000829481322388382,0.305748138397604,0.745,0.721,1,"RPL26"
0.538816478254719,0.305204561541465,0.272,0.269,1,"SNX5"
0.0445682313625627,0.304558208914144,0.622,0.619,1,"SP100"
0.190031623340473,0.303400810327371,0.402,0.392,1,"ITM2B"
0.633649171531517,0.30320980414771,0.297,0.299,1,"CSNK2B"
0.11970645848833,0.30272018951813,0.449,0.439,1,"ACTR2"
0.06381496271557,-0.301896362743187,0.41,0.443,1,"ZBTB38"
0.470350175072537,0.301680519972078,0.254,0.249,1,"PCGF5"
0.011880607092414,0.299149623944657,0.642,0.634,1,"TAPBP"
0.482344760609703,0.299109736885595,0.272,0.264,1,"METAP2"
0.0835019502162082,0.297153242226916,0.34,0.31,1,"GRN"
0.2435569282245,0.295834590287088,0.368,0.349,1,"NOP58"
0.00424256310556336,0.295750555922107,0.811,0.814,1,"CFL1"
0.0405082830710797,0.294307291786745,0.555,0.541,1,"hsa-mir-6723"
0.319516617425828,0.294018784698755,0.311,0.301,1,"SUPT5H"
0.920302807641885,0.293886962333214,0.615,0.649,1,"HSP90AA1"
0.00278350923333485,-0.29319238150677,0.31,0.375,1,"SMDT1"
0.460947434546662,0.292921116990936,0.396,0.402,1,"HDGF"
0.200910863700252,0.292698786668999,0.583,0.591,1,"RRBP1"
0.401566290254793,0.291669404735501,0.44,0.443,1,"AKAP9"
0.88263329879293,0.291618431931322,0.33,0.342,1,"GDI2"
0.000147765457290467,-0.291404155965448,0.576,0.671,1,"SRRM2"
0.140506518053856,0.289907515229656,0.473,0.463,1,"PRDX5"
0.0385954392617506,0.289864325727589,0.503,0.48,1,"NDUFB11"
7.75204960043263e-05,-0.289821629195473,0.452,0.544,1,"YPEL3"
0.000834096512137815,-0.288817112821853,0.239,0.314,1,"GLS"
0.245743926344031,0.288675163653382,0.483,0.482,1,"CTSS"
0.306428549532297,0.287889534695422,0.261,0.247,1,"IQGAP1"
0.0232619762731557,0.28445781717967,0.351,0.313,1,"DNAJA1"
0.0730442367247481,0.284008057428531,0.316,0.283,1,"KHDRBS1"
