"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.04705742908969e-70,0.308530183608993,0.491,0.208,1.16147932615641e-65,"0","PITRM1"
5.53048480353041e-70,0.550147008910019,0.402,0.154,1.27273046783645e-65,"0","MVK"
6.35371863064367e-70,0.647281982403567,0.403,0.155,1.46218126847003e-65,"0","CAAP1"
6.47976464831341e-70,0.374693456135308,0.907,0.566,1.49118823851636e-65,"0","TERF2IP"
7.06273660630169e-70,0.45094563668101,0.441,0.182,1.62534757520821e-65,"0","PEX26"
7.16767042852905e-70,0.42309566187608,0.934,0.6,1.64949599571739e-65,"0","SOD1"
7.30284511757279e-70,0.548321113772299,0.341,0.118,1.68060374690703e-65,"0","FLAD1"
9.11611585266502e-70,0.401057433931967,0.43,0.172,2.0978917411738e-65,"0","ATPAF1"
9.14984500201393e-70,0.647931109218033,0.391,0.151,2.10565383031347e-65,"0","PSPH"
1.00560339967421e-69,0.325130940856744,0.408,0.158,2.31419510367026e-65,"0","POLR3D"
1.04885792372313e-69,0.322776617900353,0.92,0.584,2.41373673986405e-65,"0","PSMD7"
1.08263266453234e-69,0.262158406733781,0.605,0.284,2.49146255088827e-65,"0","BNIP2"
1.21181332033837e-69,0.293462014524467,0.75,0.396,2.78874599409469e-65,"0","GM2A"
1.24316678999764e-69,0.454054987837928,0.489,0.208,2.86089973382157e-65,"0","TMEM69"
1.30554702593206e-69,0.578535879668929,0.405,0.158,3.00445537077746e-65,"0","VTI1A"
1.30708015119838e-69,0.660762690099071,0.351,0.126,3.00798355195283e-65,"0","MRS2"
1.33407836562062e-69,0.410403642608058,0.366,0.13,3.07011454280273e-65,"0","RANBP3"
1.97706604820893e-69,0.317617035675885,0.546,0.248,4.5498220967432e-65,"0","DCUN1D1"
2.262838740718e-69,0.276078083541922,0.875,0.513,5.20747079401434e-65,"0","TMCO1"
2.30068367344576e-69,0.252740014579734,0.722,0.369,5.29456333770073e-65,"0","HEBP2"
2.39589356846325e-69,0.335410810759263,0.459,0.194,5.51366986910448e-65,"0","EIF2D"
2.73535462228563e-69,0.26530124942125,0.306,0.096,6.29487159226591e-65,"0","ACVR1"
2.87520996422005e-69,0.377466180904916,0.356,0.125,6.6167206906596e-65,"0","CDKAL1"
2.9817991358979e-69,0.337680758379039,0.418,0.164,6.86201435144185e-65,"0","ARFRP1"
3.30634625102551e-69,0.760031579355214,0.322,0.108,7.60889462748501e-65,"0","NOC4L"
3.82387490153052e-69,0.475789067031265,0.392,0.15,8.79988331089218e-65,"0","COIL"
4.08308540948638e-69,0.292573399275089,0.539,0.238,9.39640445285101e-65,"0","RPA1"
4.80724662391437e-69,0.803087867965827,0.292,0.089,1.10629166556141e-64,"0","TRMT10A"
5.19859936944943e-69,0.415599832213479,0.379,0.142,1.1963536728914e-64,"0","POLH"
5.55951870960709e-69,0.429671471656684,0.92,0.561,1.27941204064188e-64,"0","GAS5"
5.71788089452288e-69,1.19645389476552,0.365,0.142,1.31585593025655e-64,"0","UCHL1"
7.20032095770718e-69,0.660080669333342,0.297,0.094,1.65700986199715e-64,"0","TFB2M"
7.44495795769366e-69,1.17374322765379,0.256,0.071,1.71330817480404e-64,"0","CHML"
8.41083057597115e-69,0.776106891284746,0.355,0.128,1.93558444044824e-64,"0","CPOX"
9.57027772464214e-69,0.681249313972938,0.288,0.087,2.20240801277189e-64,"0","DOLPP1"
1.05265705100042e-68,0.685058569254891,0.311,0.102,2.42247967146727e-64,"0","GRPEL2"
1.12508043016826e-68,0.370121727263485,0.402,0.154,2.58914759394622e-64,"0","RNF4"
1.13138905291635e-68,0.564339014328178,0.353,0.125,2.60366562747641e-64,"0","POLQ"
1.48309536464358e-68,0.286499509945681,0.501,0.218,3.41304736265428e-64,"0","MFSD10"
1.50212713671307e-68,0.72305790257193,0.403,0.161,3.45684517971778e-64,"0","HSPA1A"
1.80713782931347e-68,0.317315689850599,0.902,0.547,4.15876628659909e-64,"0","PSMD8"
1.86523299719761e-68,0.593784026674367,0.343,0.122,4.29246069645087e-64,"0","DUSP12"
2.1382042886203e-68,0.474099149846333,0.375,0.138,4.9206495294019e-64,"0","BAG4"
2.14104091932643e-68,0.341799800849062,0.415,0.164,4.92717746764591e-64,"0","COQ10B"
2.23057308404977e-68,0.306484998632991,0.372,0.135,5.13321783832374e-64,"0","BMI1"
2.27143283817976e-68,0.695510117466354,0.298,0.094,5.22724839050308e-64,"0","C12orf10"
2.50465496021693e-68,0.277715410459444,0.498,0.217,5.76396245994722e-64,"0","METTL2B"
2.62438572053873e-68,0.354368042299089,0.357,0.128,6.03949885867577e-64,"0","ZC3H7B"
2.84125855779088e-68,0.642384513783764,0.383,0.146,6.53858831904414e-64,"0","PRPSAP1"
2.86663930403111e-68,0.27930878955871,0.787,0.429,6.5969970303668e-64,"0","RDH11"
2.91699638487139e-68,0.389551395686972,0.461,0.193,6.71288378050453e-64,"0","WEE1"
2.96367144028741e-68,0.742885739915413,0.318,0.105,6.82029708553341e-64,"0","NARS2"
3.12246574483248e-68,0.705155426116324,0.332,0.114,7.185730418583e-64,"0","WBSCR16"
3.98620592236662e-68,0.79177329693676,0.414,0.171,9.17345568914229e-64,"0","BTBD10"
4.41983898513641e-68,0.375109350522007,0.549,0.253,1.01713754564944e-63,"0","MITD1"
4.54847563356757e-68,0.278025317501789,0.885,0.512,1.04674069755291e-63,"0","BST2"
4.63369893255014e-68,0.310271727357587,0.528,0.23,1.06635313534776e-63,"0","RALB"
5.38655398946274e-68,0.404237273000569,0.4,0.158,1.23960766959506e-63,"0","AP1M1"
5.62781419516934e-68,0.873822812037414,0.282,0.083,1.29512888073432e-63,"0","RP1-89D4.1"
5.68711314298264e-68,0.29538614041903,0.439,0.178,1.30877534759459e-63,"0","GTF3C3"
7.36349865005537e-68,0.394494466162186,0.429,0.175,1.69456194433724e-63,"0","BCAT2"
8.1728794079166e-68,0.372456135132681,0.924,0.589,1.88082473814385e-63,"0","KTN1"
8.29868516286955e-68,0.44880044992754,0.376,0.14,1.90977641653117e-63,"0","MFSD6"
9.49485317318148e-68,0.472266220836525,0.352,0.125,2.18505056074425e-63,"0","COMMD7"
9.53901551775548e-68,0.554815950193187,0.339,0.118,2.19521364110107e-63,"0","LAGE3"
9.92486667161802e-68,0.731257987599078,0.379,0.147,2.28400956713946e-63,"0","UHRF1BP1L"
1.00717455970671e-67,0.568380530870206,0.353,0.127,2.31781081425305e-63,"0","TTI1"
1.21571853870505e-67,0.488860101657038,0.375,0.141,2.79773307312193e-63,"0","C18orf21"
1.37912977307465e-67,0.578692533134842,0.321,0.108,3.17379134677668e-63,"0","C6orf136"
1.72613381622143e-67,0.40093876058802,0.385,0.147,3.97235175127037e-63,"0","VPRBP"
1.74832664207467e-67,0.760136814905553,0.318,0.108,4.02342410140643e-63,"0","THOP1"
1.92750130851858e-67,0.658819035420771,0.308,0.1,4.4357587612938e-63,"0","TFAP4"
2.06218661033535e-67,0.679250787420665,0.295,0.092,4.74571004636474e-63,"0","CLP1"
2.08819226446912e-67,0.48887394954873,0.424,0.171,4.80555685822278e-63,"0","RPP38"
2.27520662357405e-67,0.53485805728984,0.375,0.14,5.23593300283097e-63,"0","INTS7"
2.30238172759244e-67,0.295027444308869,0.917,0.575,5.29847106970848e-63,"0","MESDC2"
2.40370931941679e-67,0.595513869856914,0.359,0.131,5.53165625677385e-63,"0","WDR89"
2.56044734083748e-67,0.495455274047287,0.319,0.107,5.89235746546928e-63,"0","URB1"
2.58242782627296e-67,0.85141371733992,0.289,0.092,5.94294115660196e-63,"0","RAB33A"
2.78911835609764e-67,1.08342040513188,0.302,0.1,6.4185980728875e-63,"0","MYO1E"
2.83247345570703e-67,0.639866840518602,0.364,0.135,6.51837116361858e-63,"0","CNOT6"
3.02675060578614e-67,0.337692686095211,0.427,0.172,6.96546116909564e-63,"0","CCDC107"
3.29211011954377e-67,0.645411781825131,0.333,0.116,7.57613301810607e-63,"0","STOM"
3.63515538864437e-67,0.469075219215803,0.522,0.237,8.36558309588728e-63,"0","C17orf85"
3.81984010697848e-67,0.66684237645307,0.355,0.128,8.79059803818957e-63,"0","PDHX"
4.18275698937936e-67,0.373951275788137,0.392,0.148,9.62577865965872e-63,"0","POP5"
4.39587503819159e-67,0.455342220408621,0.382,0.147,1.01162272253903e-62,"0","ABHD10"
4.42471567919789e-67,0.394082213601642,0.976,0.824,1.01825981925381e-62,"0","SUB1"
4.67838496972097e-67,0.498118733100676,0.426,0.17,1.07663673308189e-62,"0","E2F3"
